iter	RMSE
0	557866.4625
1	546371.4537
2	535973.4062
3	522327.888
4	511313.2674
5	502203.0725
6	491482.3144
7	480915.6212
8	470804.5694
9	462308.027
10	452812.311
11	442510.0686
12	432757.4772
13	422022.7324
14	414331.6779
15	404320.4494
16	396944.521
17	388973.3082
18	381740.9865
19	373494.0762
20	364121.4126
21	355864.1769
22	349174.2649
23	340568.0006
24	331656.8867
25	324467.2783
26	318103.6438
27	312791.2682
28	307670.9988
29	301821.7171
30	296538.0214
31	289441.0389
32	284311.8486
33	278227.7421
34	272376.2065
35	268328.1276
36	262497.5255
37	256101.5135
38	251203.4534
39	246871.9053
40	242809.8851
41	238392.1135
42	234015.5308
43	230237.6776
44	225180.1993
45	220284.1075
46	215907.5174
47	210933.3747
48	206373.371
49	202766.6688
50	198619.1732
51	195202.8585
52	191738.6056
53	188287.7334
54	185790.8537
55	183261.4377
56	180235.295
57	177493.7738
58	174123.66
59	171679.646
60	168659.9979
61	165489.0041
62	162427.7585
63	159049.9513
64	156340.4335
65	153793.0217
66	151139.3236
67	149181.3181
68	146614.4164
69	143721.2607
70	141570.0659
71	140246.1677
72	138034.0177
73	135519.6743
74	133178.6074
75	131086.2197
76	129094.4086
77	127569.5822
78	125531.1453
79	123618.9172
80	122109.6148
81	120359.4929
82	119248.2695
83	117826.0594
84	116556.6197
85	114647.1545
86	112868.7223
87	111113.6472
88	109764.2606
89	108531.2605
90	106970.3544
91	105580.4722
92	104229.1809
93	102408.1452
94	101149.5835
95	99805.965
96	98438.82614
97	97523.86076
98	96331.17437
99	95313.29453
100	94055.11764
101	92855.6912
102	91646.37109
103	90862.4333
104	89575.31481
105	88345.15705
106	87360.29109
107	86575.04063
108	85547.37711
109	84705.22011
110	83900.45852
111	82807.35985
112	81998.25698
113	81080.70877
114	80472.56933
115	79843.98132
116	78860.67518
117	77890.32317
118	76826.61196
119	76108.6586
120	75223.13751
121	74262.0503
122	73646.73519
123	73097.9816
124	72291.16668
125	71591.87606
126	70733.62858
127	70377.11061
128	69802.67227
129	68813.18052
130	68411.76629
131	67881.0412
132	67187.21961
133	66830.19918
134	66260.12856
135	65544.29735
136	64783.01855
137	64371.32893
138	63664.12115
139	63185.44855
140	62508.07601
